"Date (TU)","Date de la mesure du min/max (TU)","Valeur (en m)","Statut","Qualification","Méthode","Continuité"
2015-10-01T00:00:00.000Z,2015-10-01T23:59:59.000Z,"22.83","4",16,0,0
2015-10-02T00:00:00.000Z,2015-10-02T16:05:00.000Z,"22.73","4",16,0,0
2015-10-03T00:00:00.000Z,2015-10-03T00:00:00.000Z,"22.76","4",16,0,0
2015-10-04T00:00:00.000Z,2015-10-04T23:30:00.000Z,"22.87","4",16,0,0
2015-10-05T00:00:00.000Z,2015-10-05T23:00:00.000Z,"22.69","4",16,0,0
2015-10-06T00:00:00.000Z,2015-10-06T22:00:00.000Z,"20.25","4",16,0,0
2015-10-07T00:00:00.000Z,2015-10-07T21:30:00.000Z,"19.86","4",16,0,0
2015-10-08T00:00:00.000Z,2015-10-08T12:30:00.000Z,"19.85","4",16,0,0
2015-10-09T00:00:00.000Z,2015-10-09T08:25:00.000Z,"19.63","4",16,0,0
2015-10-10T00:00:00.000Z,2015-10-10T01:25:00.000Z,"20.48","4",16,0,0
2015-10-11T00:00:00.000Z,2015-10-11T21:10:00.000Z,"21.49","4",16,0,0
2015-10-12T00:00:00.000Z,2015-10-12T23:50:00.000Z,"21.13","4",16,0,0
2015-10-13T00:00:00.000Z,2015-10-13T23:00:00.000Z,"20.71","4",16,0,0
2015-10-14T00:00:00.000Z,2015-10-14T23:55:00.000Z,"20.36","4",16,0,0
2015-10-15T00:00:00.000Z,2015-10-15T21:40:00.000Z,"20.00","4",16,0,0
2015-10-16T00:00:00.000Z,2015-10-16T11:15:00.000Z,"19.98","4",16,0,0
2015-10-17T00:00:00.000Z,2015-10-17T23:45:00.000Z,"19.88","4",16,0,0
2015-10-18T00:00:00.000Z,2015-10-18T23:15:00.000Z,"19.72","4",16,0,0
2015-10-19T00:00:00.000Z,2015-10-19T18:10:00.000Z,"19.64","4",16,0,0
2015-10-20T00:00:00.000Z,2015-10-20T23:35:00.000Z,"19.52","4",16,0,0
2015-10-21T00:00:00.000Z,2015-10-21T21:35:00.000Z,"19.37","4",16,0,0
2015-10-22T00:00:00.000Z,2015-10-22T23:35:00.000Z,"19.19","4",16,0,0
2015-10-23T00:00:00.000Z,2015-10-23T23:10:00.000Z,"19.03","4",16,0,0
2015-10-24T00:00:00.000Z,2015-10-24T20:20:00.000Z,"18.96","4",16,0,0
2015-10-25T00:00:00.000Z,2015-10-25T21:35:00.000Z,"18.86","4",16,0,0
2015-10-26T00:00:00.000Z,2015-10-26T20:20:00.000Z,"18.78","4",16,0,0
2015-10-27T00:00:00.000Z,2015-10-27T13:45:00.000Z,"18.72","4",16,0,0
2015-10-28T00:00:00.000Z,2015-10-28T00:00:00.000Z,"18.75","4",16,0,0
2015-10-29T00:00:00.000Z,2015-10-29T21:25:00.000Z,"18.68","4",16,0,0
2015-10-30T00:00:00.000Z,2015-10-30T16:50:00.000Z,"18.59","4",16,0,0
2015-10-31T00:00:00.000Z,2015-10-31T23:10:00.000Z,"18.42","4",16,0,0
2015-11-01T00:00:00.000Z,2015-11-01T23:55:00.000Z,"18.17","4",16,0,0
2015-11-02T00:00:00.000Z,2015-11-02T11:35:00.000Z,"18.05","4",16,0,0
2015-11-03T00:00:00.000Z,2015-11-03T23:55:00.000Z,"18.01","4",16,0,0
2015-11-04T00:00:00.000Z,2015-11-04T00:10:00.000Z,"17.95","4",16,0,0
2015-11-05T00:00:00.000Z,2015-11-05T17:35:00.000Z,"18.30","4",16,0,0
2015-11-06T00:00:00.000Z,2015-11-06T15:10:00.000Z,"18.58","4",16,0,0
2015-11-07T00:00:00.000Z,2015-11-07T23:30:00.000Z,"18.55","4",16,0,0
2015-11-08T00:00:00.000Z,2015-11-08T18:20:00.000Z,"18.16","4",16,0,0
2015-11-09T00:00:00.000Z,2015-11-09T00:00:00.000Z,"18.45","4",16,0,0
2015-11-10T00:00:00.000Z,2015-11-10T17:40:00.000Z,"18.65","4",16,0,0
2015-11-11T00:00:00.000Z,2015-11-11T17:40:00.000Z,"18.59","4",16,0,0
2015-11-12T00:00:00.000Z,2015-11-12T18:00:00.000Z,"18.32","4",16,0,0
2015-11-13T00:00:00.000Z,2015-11-13T00:05:00.000Z,"18.45","4",16,0,0
2015-11-14T00:00:00.000Z,2015-11-14T17:25:00.000Z,"18.50","4",16,0,0
2015-11-15T00:00:00.000Z,2015-11-15T16:25:00.000Z,"18.44","4",16,0,0
2015-11-16T00:00:00.000Z,2015-11-16T13:15:00.000Z,"18.46","4",16,0,0
2015-11-17T00:00:00.000Z,2015-11-17T17:35:00.000Z,"18.58","4",16,0,0
2015-11-18T00:00:00.000Z,2015-11-18T18:00:00.000Z,"18.52","4",16,0,0
2015-11-19T00:00:00.000Z,2015-11-19T18:30:00.000Z,"18.32","4",16,0,0
2015-11-20T00:00:00.000Z,2015-11-20T17:30:00.000Z,"18.30","4",16,0,0
2015-11-21T00:00:00.000Z,2015-11-21T00:05:00.000Z,"18.43","4",16,0,0
2015-11-22T00:00:00.000Z,2015-11-22T00:05:00.000Z,"18.67","4",16,0,0
2015-11-23T00:00:00.000Z,2015-11-23T15:00:00.000Z,"18.66","4",16,0,0
2015-11-24T00:00:00.000Z,2015-11-24T15:00:00.000Z,"18.57","4",16,0,0
2015-11-25T00:00:00.000Z,2015-11-25T10:00:00.000Z,"18.59","4",16,0,0
2015-11-26T00:00:00.000Z,2015-11-26T00:00:00.000Z,"18.82","4",16,0,0
2015-11-27T00:00:00.000Z,2015-11-27T23:30:00.000Z,"18.47","4",16,0,0
2015-11-28T00:00:00.000Z,2015-11-28T06:30:00.000Z,"18.42","4",16,0,0
2015-11-29T00:00:00.000Z,2015-11-29T19:30:00.000Z,"18.07","4",16,0,0
2015-11-30T00:00:00.000Z,2015-11-30T14:30:00.000Z,"18.19","4",16,0,0
2015-12-01T00:00:00.000Z,2015-12-01T04:00:00.000Z,"17.26","4",16,0,0
2015-12-02T00:00:00.000Z,2015-12-02T00:30:00.000Z,"17.51","4",16,0,0
2015-12-03T00:00:00.000Z,2015-12-03T12:20:00.000Z,"18.70","4",16,0,0
2015-12-04T00:00:00.000Z,2015-12-04T12:50:00.000Z,"18.49","4",16,0,0
2015-12-05T00:00:00.000Z,2015-12-05T12:55:00.000Z,"18.25","4",16,0,0
2015-12-06T00:00:00.000Z,2015-12-06T14:50:00.000Z,"18.30","4",16,0,0
2015-12-07T00:00:00.000Z,2015-12-07T00:15:00.000Z,"18.32","4",16,0,0
2015-12-08T00:00:00.000Z,2015-12-08T00:05:00.000Z,"18.79","4",16,0,0
2015-12-09T00:00:00.000Z,2015-12-09T13:30:00.000Z,"18.49","4",16,0,0
2015-12-10T00:00:00.000Z,2015-12-10T12:40:00.000Z,"18.16","4",16,0,0
2015-12-11T00:00:00.000Z,2015-12-11T12:10:00.000Z,"18.30","4",16,0,0
2015-12-12T00:00:00.000Z,2015-12-12T12:00:00.000Z,"18.46","4",16,0,0
2015-12-13T00:00:00.000Z,2015-12-13T23:00:00.000Z,"18.27","4",16,0,0
2015-12-14T00:00:00.000Z,2015-12-14T04:00:00.000Z,"18.23","4",16,0,0
2015-12-15T00:00:00.000Z,2015-12-15T10:30:00.000Z,"18.46","4",16,0,0
2015-12-16T00:00:00.000Z,2015-12-16T12:40:00.000Z,"18.60","4",16,0,0
2015-12-17T00:00:00.000Z,2015-12-17T12:25:00.000Z,"18.50","4",16,0,0
2015-12-18T00:00:00.000Z,2015-12-18T12:50:00.000Z,"18.37","4",16,0,0
2015-12-19T00:00:00.000Z,2015-12-19T12:40:00.000Z,"18.23","4",16,0,0
2015-12-20T00:00:00.000Z,2015-12-20T20:35:00.000Z,"18.00","4",16,0,0
2015-12-21T00:00:00.000Z,2015-12-21T02:10:00.000Z,"18.00","4",16,0,0
2015-12-22T00:00:00.000Z,2015-12-22T12:50:00.000Z,"18.52","4",16,0,0
2015-12-23T00:00:00.000Z,2015-12-23T12:30:00.000Z,"18.74","4",16,0,0
2015-12-24T00:00:00.000Z,2015-12-24T11:40:00.000Z,"18.90","4",16,0,0
2015-12-25T00:00:00.000Z,2015-12-25T12:50:00.000Z,"18.70","4",16,0,0
2015-12-26T00:00:00.000Z,2015-12-26T12:35:00.000Z,"18.67","4",16,0,0
2015-12-27T00:00:00.000Z,2015-12-27T23:25:00.000Z,"18.41","4",16,0,0
2015-12-28T00:00:00.000Z,2015-12-28T10:30:00.000Z,"18.29","4",16,0,0
2015-12-29T00:00:00.000Z,2015-12-29T14:20:00.000Z,"18.37","4",16,0,0
2015-12-30T00:00:00.000Z,2015-12-30T13:30:00.000Z,"18.30","4",16,0,0
2015-12-31T00:00:00.000Z,2015-12-31T11:35:00.000Z,"18.30","4",16,0,0
2016-01-01T00:00:00.000Z,2016-01-01T12:20:00.000Z,"18.60","4",16,0,0
2016-01-02T00:00:00.000Z,2016-01-02T12:50:00.000Z,"18.86","4",16,0,0
2016-01-03T00:00:00.000Z,2016-01-03T22:55:00.000Z,"18.82","4",16,0,0
2016-01-04T00:00:00.000Z,2016-01-04T13:15:00.000Z,"18.60","4",16,0,0
2016-01-05T00:00:00.000Z,2016-01-05T12:25:00.000Z,"18.90","4",16,0,0
2016-01-06T00:00:00.000Z,2016-01-06T00:00:00.000Z,"19.23","4",16,0,0
2016-01-07T00:00:00.000Z,2016-01-07T00:00:00.000Z,"19.53","4",16,0,0
2016-01-08T00:00:00.000Z,2016-01-08T11:40:00.000Z,"19.77","4",16,0,0
2016-01-09T00:00:00.000Z,2016-01-09T10:10:00.000Z,"19.89","4",16,0,0
2016-01-10T00:00:00.000Z,2016-01-10T23:45:00.000Z,"19.78","4",16,0,0
2016-01-11T00:00:00.000Z,2016-01-11T08:00:00.000Z,"19.71","4",16,0,0
2016-01-12T00:00:00.000Z,2016-01-12T00:00:00.000Z,"20.19","4",16,0,0
2016-01-13T00:00:00.000Z,2016-01-13T00:10:00.000Z,"20.66","4",16,0,0
2016-01-14T00:00:00.000Z,2016-01-14T00:45:00.000Z,"20.98","4",16,0,0
2016-01-15T00:00:00.000Z,2016-01-15T00:05:00.000Z,"21.38","4",16,0,0
2016-01-16T00:00:00.000Z,2016-01-16T00:05:00.000Z,"21.69","4",16,0,0
2016-01-17T00:00:00.000Z,2016-01-17T00:05:00.000Z,"21.94","4",16,0,0
2016-01-18T00:00:00.000Z,2016-01-18T00:05:00.000Z,"22.05","4",16,0,0
2016-01-19T00:00:00.000Z,2016-01-19T00:05:00.000Z,"22.29","4",16,0,0
2016-01-20T00:00:00.000Z,2016-01-20T00:05:00.000Z,"22.50","4",16,0,0
2016-01-21T00:00:00.000Z,2016-01-21T14:35:00.000Z,"22.66","4",16,0,0
2016-01-22T00:00:00.000Z,2016-01-22T23:35:00.000Z,"20.24","4",16,0,0
2016-01-23T00:00:00.000Z,2016-01-23T14:35:00.000Z,"20.27","4",16,0,0
2016-01-24T00:00:00.000Z,2016-01-24T00:05:00.000Z,"23.53","4",16,0,0
2016-01-25T00:00:00.000Z,2016-01-25T06:35:00.000Z,"20.80","4",16,0,0
2016-01-26T00:00:00.000Z,2016-01-26T00:00:00.000Z,"23.93","4",16,0,0
2016-01-27T00:00:00.000Z,2016-01-27T00:05:00.000Z,"24.35","4",16,0,0
2016-01-28T00:00:00.000Z,2016-01-28T00:05:00.000Z,"24.71","4",16,0,0
2016-01-29T00:00:00.000Z,2016-01-29T00:00:00.000Z,"24.76","4",16,0,0
2016-01-30T00:00:00.000Z,2016-01-30T00:05:00.000Z,"24.77","4",16,0,0
2016-01-31T00:00:00.000Z,2016-01-31T22:35:00.000Z,"24.88","4",16,0,0
2016-02-01T00:00:00.000Z,2016-02-01T19:05:00.000Z,"22.38","4",16,0,0
2016-02-02T00:00:00.000Z,2016-02-02T07:05:00.000Z,"21.64","4",16,0,0
2016-02-03T00:00:00.000Z,2016-02-03T06:05:00.000Z,"22.59","4",16,0,0
2016-02-04T00:00:00.000Z,2016-02-04T00:05:00.000Z,"23.23","4",16,0,0
2016-02-05T00:00:00.000Z,2016-02-05T09:00:00.000Z,"26.27","4",16,0,0
2016-02-06T00:00:00.000Z,2016-02-06T00:05:00.000Z,"26.64","4",16,0,0
2016-02-07T00:00:00.000Z,2016-02-07T00:15:00.000Z,"26.95","4",16,0,0
2016-02-08T00:00:00.000Z,2016-02-08T02:05:00.000Z,"26.97","4",16,0,0
2016-02-09T00:00:00.000Z,2016-02-09T00:00:00.000Z,"27.18","4",16,0,0
2016-02-10T00:00:00.000Z,2016-02-10T00:15:00.000Z,"27.46","4",16,0,0
2016-02-11T00:00:00.000Z,2016-02-11T00:00:00.000Z,"27.79","4",16,0,0
2016-02-12T00:00:00.000Z,2016-02-12T00:00:00.000Z,"28.03","4",16,0,0
2016-02-13T00:00:00.000Z,2016-02-13T00:00:00.000Z,"28.35","4",16,0,0
2016-02-14T00:00:00.000Z,2016-02-14T00:05:00.000Z,"28.81","4",16,0,0
2016-02-15T00:00:00.000Z,2016-02-15T10:20:00.000Z,"28.97","4",16,0,0
2016-02-16T00:00:00.000Z,2016-02-16T00:10:00.000Z,"29.13","4",16,0,0
2016-02-17T00:00:00.000Z,2016-02-17T00:00:00.000Z,"29.28","4",16,0,0
2016-02-18T00:00:00.000Z,2016-02-18T00:00:00.000Z,"29.53","4",16,0,0
2016-02-19T00:00:00.000Z,2016-02-19T00:00:00.000Z,"29.80","4",16,0,0
2016-02-20T00:00:00.000Z,2016-02-20T00:00:00.000Z,"30.04","4",16,0,0
2016-02-21T00:00:00.000Z,2016-02-21T00:10:00.000Z,"30.26","4",16,0,0
2016-02-22T00:00:00.000Z,2016-02-22T00:00:00.000Z,"30.36","4",16,0,0
2016-02-23T00:00:00.000Z,2016-02-23T00:00:00.000Z,"30.62","4",16,0,0
2016-02-24T00:00:00.000Z,2016-02-24T00:00:00.000Z,"30.96","4",16,0,0
2016-02-25T00:00:00.000Z,2016-02-25T00:00:00.000Z,"31.23","4",16,0,0
2016-02-26T00:00:00.000Z,2016-02-26T00:00:00.000Z,"31.49","4",16,0,0
2016-02-27T00:00:00.000Z,2016-02-27T00:00:00.000Z,"31.71","4",16,8,0
2016-02-28T00:00:00.000Z,2016-02-28T00:00:00.000Z,"32.04","4",16,0,0
2016-02-29T00:00:00.000Z,2016-02-29T10:20:00.000Z,"32.26","4",16,0,0
2016-03-01T00:00:00.000Z,2016-03-01T09:15:00.000Z,"32.33","4",16,0,0
2016-03-02T00:00:00.000Z,2016-03-02T00:10:00.000Z,"32.37","4",16,0,0
2016-03-03T00:00:00.000Z,2016-03-03T00:05:00.000Z,"32.58","4",16,0,0
2016-03-04T00:00:00.000Z,2016-03-04T08:15:00.000Z,"32.76","4",16,0,0
2016-03-05T00:00:00.000Z,2016-03-05T00:25:00.000Z,"33.00","4",16,0,0
2016-03-06T00:00:00.000Z,2016-03-06T00:00:00.000Z,"33.19","4",16,0,0
2016-03-07T00:00:00.000Z,2016-03-07T13:10:00.000Z,"33.26","4",16,0,0
2016-03-08T00:00:00.000Z,2016-03-08T04:10:00.000Z,"33.36","4",16,0,0
2016-03-09T00:00:00.000Z,2016-03-09T00:40:00.000Z,"33.47","4",16,0,0
2016-03-10T00:00:00.000Z,2016-03-10T00:10:00.000Z,"33.70","4",16,0,0
2016-03-11T00:00:00.000Z,2016-03-11T00:40:00.000Z,"33.93","4",16,0,0
2016-03-12T00:00:00.000Z,2016-03-12T00:40:00.000Z,"34.13","4",16,0,0
2016-03-13T00:00:00.000Z,2016-03-13T00:10:00.000Z,"34.28","4",16,0,0
2016-03-14T00:00:00.000Z,2016-03-14T00:10:00.000Z,"34.41","4",16,0,0
2016-03-15T00:00:00.000Z,2016-03-15T00:10:00.000Z,"34.57","4",16,0,0
2016-03-16T00:00:00.000Z,2016-03-16T00:10:00.000Z,"34.78","4",16,0,0
2016-03-17T00:00:00.000Z,2016-03-17T23:40:00.000Z,"34.91","4",16,0,0
2016-03-18T00:00:00.000Z,2016-03-18T21:40:00.000Z,"27.74","4",16,0,0
2016-03-19T00:00:00.000Z,2016-03-19T14:40:00.000Z,"28.56","4",16,0,0
2016-03-20T00:00:00.000Z,2016-03-20T07:40:00.000Z,"28.40","4",16,0,0
2016-03-21T00:00:00.000Z,2016-03-21T01:10:00.000Z,"32.06","4",16,0,0
2016-03-22T00:00:00.000Z,2016-03-22T00:05:00.000Z,"36.05","4",16,0,0
2016-03-23T00:00:00.000Z,2016-03-23T00:10:00.000Z,"36.34","4",16,0,0
2016-03-24T00:00:00.000Z,2016-03-24T00:10:00.000Z,"36.62","4",16,0,0
2016-03-25T00:00:00.000Z,2016-03-25T00:35:00.000Z,"36.88","4",16,0,0
2016-03-26T00:00:00.000Z,2016-03-26T00:00:00.000Z,"37.09","4",16,0,0
2016-03-27T00:00:00.000Z,2016-03-27T00:00:00.000Z,"37.27","4",16,0,0
2016-03-28T00:00:00.000Z,2016-03-28T00:05:00.000Z,"37.52","4",16,0,0
2016-03-29T00:00:00.000Z,2016-03-29T00:00:00.000Z,"37.76","4",16,0,0
2016-03-30T00:00:00.000Z,2016-03-30T00:00:00.000Z,"37.97","4",16,0,0
2016-03-31T00:00:00.000Z,2016-03-31T00:05:00.000Z,"38.14","4",16,0,0
2016-04-01T00:00:00.000Z,2016-04-01T00:50:00.000Z,"38.36","4",16,0,0
2016-04-02T00:00:00.000Z,2016-04-02T00:00:00.000Z,"38.63","4",16,0,0
2016-04-03T00:00:00.000Z,2016-04-03T00:10:00.000Z,"38.82","4",16,0,0
2016-04-04T00:00:00.000Z,2016-04-04T00:10:00.000Z,"38.89","4",16,0,0
2016-04-05T00:00:00.000Z,2016-04-05T00:00:00.000Z,"38.95","4",16,0,0
2016-04-06T00:00:00.000Z,2016-04-06T21:05:00.000Z,"39.12","4",16,0,0
2016-04-07T00:00:00.000Z,2016-04-07T09:00:00.000Z,"39.09","4",16,0,0
2016-04-08T00:00:00.000Z,2016-04-08T00:00:00.000Z,"39.21","4",16,0,0
2016-04-09T00:00:00.000Z,2016-04-09T00:20:00.000Z,"39.50","4",16,0,0
2016-04-10T00:00:00.000Z,2016-04-10T00:00:00.000Z,"39.65","4",16,0,0
2016-04-11T00:00:00.000Z,2016-04-11T00:20:00.000Z,"39.75","4",16,0,0
2016-04-12T00:00:00.000Z,2016-04-12T00:00:00.000Z,"39.78","4",16,0,0
2016-04-13T00:00:00.000Z,2016-04-13T00:00:00.000Z,"39.91","4",16,0,0
2016-04-14T00:00:00.000Z,2016-04-14T00:00:00.000Z,"40.07","4",16,0,0
2016-04-15T00:00:00.000Z,2016-04-15T00:00:00.000Z,"40.21","4",16,0,0
2016-04-16T00:00:00.000Z,2016-04-16T00:05:00.000Z,"40.38","4",16,0,0
2016-04-17T00:00:00.000Z,2016-04-17T00:00:00.000Z,"40.61","4",16,0,0
2016-04-18T00:00:00.000Z,2016-04-18T00:00:00.000Z,"40.81","4",16,0,0
2016-04-19T00:00:00.000Z,2016-04-19T12:05:00.000Z,"40.73","4",16,0,0
2016-04-20T00:00:00.000Z,2016-04-20T00:00:00.000Z,"41.07","4",16,0,0
2016-04-21T00:00:00.000Z,2016-04-21T00:05:00.000Z,"41.16","4",16,0,0
2016-04-22T00:00:00.000Z,2016-04-22T08:00:00.000Z,"41.41","4",16,0,0
2016-04-23T00:00:00.000Z,2016-04-23T00:15:00.000Z,"41.43","4",16,0,0
2016-04-24T00:00:00.000Z,2016-04-24T00:00:00.000Z,"41.55","4",16,0,0
2016-04-25T00:00:00.000Z,2016-04-25T00:10:00.000Z,"41.73","4",16,0,0
2016-04-26T00:00:00.000Z,2016-04-26T00:00:00.000Z,"41.87","4",16,0,0
2016-04-27T00:00:00.000Z,2016-04-27T00:05:00.000Z,"42.02","4",16,0,0
2016-04-28T00:00:00.000Z,2016-04-28T08:00:00.000Z,"41.98","4",16,0,0
2016-04-29T00:00:00.000Z,2016-04-29T00:40:00.000Z,"42.36","4",16,0,0
2016-04-30T00:00:00.000Z,2016-04-30T00:05:00.000Z,"42.48","4",16,0,0
2016-05-01T00:00:00.000Z,2016-05-01T05:35:00.000Z,"42.54","4",16,0,0
2016-05-02T00:00:00.000Z,2016-05-02T00:50:00.000Z,"42.57","4",16,0,0
2016-05-03T00:00:00.000Z,2016-05-03T02:25:00.000Z,"42.62","4",16,0,0
2016-05-04T00:00:00.000Z,2016-05-04T18:15:00.000Z,"42.50","4",16,0,0
2016-05-05T00:00:00.000Z,2016-05-05T08:15:00.000Z,"42.55","4",16,0,0
2016-05-06T00:00:00.000Z,2016-05-06T02:45:00.000Z,"42.61","4",16,0,0
2016-05-07T00:00:00.000Z,2016-05-07T01:15:00.000Z,"42.67","4",16,0,0
2016-05-08T00:00:00.000Z,2016-05-08T00:45:00.000Z,"42.67","4",16,0,0
2016-05-09T00:00:00.000Z,2016-05-09T00:15:00.000Z,"42.77","4",16,0,0
2016-05-10T00:00:00.000Z,2016-05-10T20:45:00.000Z,"42.79","4",16,0,0
2016-05-11T00:00:00.000Z,2016-05-11T15:45:00.000Z,"42.74","4",16,0,0
2016-05-12T00:00:00.000Z,2016-05-12T06:55:00.000Z,"42.74","4",16,0,0
2016-05-13T00:00:00.000Z,2016-05-13T00:15:00.000Z,"42.88","4",16,0,0
2016-05-14T00:00:00.000Z,2016-05-14T00:15:00.000Z,"42.88","4",16,0,0
2016-05-15T00:00:00.000Z,2016-05-15T19:45:00.000Z,"32.67","4",16,0,0
2016-05-16T00:00:00.000Z,2016-05-16T18:45:00.000Z,"37.73","4",16,0,0
2016-05-17T00:00:00.000Z,2016-05-17T09:15:00.000Z,"32.93","4",16,0,0
2016-05-18T00:00:00.000Z,2016-05-18T05:45:00.000Z,"32.69","4",16,0,0
2016-05-19T00:00:00.000Z,2016-05-19T22:05:00.000Z,"43.48","4",16,0,0
2016-05-20T00:00:00.000Z,2016-05-20T00:15:00.000Z,"43.47","4",16,0,0
2016-05-21T00:00:00.000Z,2016-05-21T00:00:00.000Z,"43.54","4",16,0,0
2016-05-22T00:00:00.000Z,2016-05-22T00:05:00.000Z,"43.67","4",16,0,0
2016-05-23T00:00:00.000Z,2016-05-23T17:55:00.000Z,"43.73","4",16,0,0
2016-05-24T00:00:00.000Z,2016-05-24T02:45:00.000Z,"43.73","4",16,0,0
2016-05-25T00:00:00.000Z,2016-05-25T06:55:00.000Z,"43.58","4",16,0,0
2016-05-26T00:00:00.000Z,2016-05-26T00:05:00.000Z,"43.84","4",16,0,0
2016-05-27T00:00:00.000Z,2016-05-27T21:00:00.000Z,"43.82","4",16,0,0
