"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2015-12-18T00:00:00.000Z,"4.27","16",20,10,0
2015-12-19T00:00:00.000Z,"4.29","16",20,10,0
2015-12-20T00:00:00.000Z,"4.10","16",20,10,0
2015-12-21T00:00:00.000Z,"3.61","16",20,10,0
2015-12-22T00:00:00.000Z,"3.38","16",20,10,0
2015-12-23T00:00:00.000Z,"3.66","16",20,10,0
2015-12-24T00:00:00.000Z,"3.78","16",20,10,0
2015-12-25T00:00:00.000Z,"4.27","16",20,10,0
2015-12-26T00:00:00.000Z,"4.00","16",20,10,0
2015-12-27T00:00:00.000Z,"4.07","16",20,10,0
2015-12-28T00:00:00.000Z,"3.75","16",20,10,0
2015-12-29T00:00:00.000Z,"3.59","16",20,10,0
2015-12-30T00:00:00.000Z,"3.92","16",20,10,0
2015-12-31T00:00:00.000Z,"3.98","16",20,10,0
2016-01-01T00:00:00.000Z,"3.59","16",20,10,0
2016-01-02T00:00:00.000Z,"3.60","16",20,10,0
2016-01-03T00:00:00.000Z,"3.75","16",20,10,0
2016-01-04T00:00:00.000Z,"3.85","16",20,10,0
2016-01-05T00:00:00.000Z,"4.40","16",20,10,0
2016-01-06T00:00:00.000Z,"4.58","16",20,10,0
2016-01-07T00:00:00.000Z,"4.60","16",20,10,0
2016-01-08T00:00:00.000Z,"5.14","16",20,10,0
2016-01-09T00:00:00.000Z,"5.84","16",20,10,0
2016-01-10T00:00:00.000Z,"5.77","16",20,10,0
2016-01-11T00:00:00.000Z,"5.11","16",20,10,0
2016-01-12T00:00:00.000Z,"4.53","16",20,10,0
2016-01-13T00:00:00.000Z,"4.56","16",20,10,0
2016-01-14T00:00:00.000Z,"4.51","16",20,10,0
2016-01-15T00:00:00.000Z,"4.42","16",20,10,0
2016-01-16T00:00:00.000Z,"4.44","16",20,10,0
2016-01-17T00:00:00.000Z,"4.44","16",20,10,0
2016-01-18T00:00:00.000Z,"4.68","16",20,10,0
2016-01-19T00:00:00.000Z,"4.73","16",20,10,0
2016-01-20T00:00:00.000Z,"4.68","16",20,10,0
2016-01-21T00:00:00.000Z,"4.68","16",20,10,0
2016-01-22T00:00:00.000Z,"4.31","16",20,10,0
2016-01-23T00:00:00.000Z,"3.13","16",20,10,0
2016-01-24T00:00:00.000Z,"3.05","16",20,10,0
2016-01-25T00:00:00.000Z,"3.95","16",20,10,0
2016-01-26T00:00:00.000Z,"3.52","16",20,10,0
2016-01-27T00:00:00.000Z,"3.46","16",20,10,0
2016-01-28T00:00:00.000Z,"3.72","16",20,10,0
2016-01-29T00:00:00.000Z,"4.68","16",20,10,0
2016-01-30T00:00:00.000Z,"4.38","16",20,10,0
2016-01-31T00:00:00.000Z,"3.73","16",20,10,0
2016-02-01T00:00:00.000Z,"3.22","16",20,10,0
2016-02-02T00:00:00.000Z,"2.85","16",20,10,0
2016-02-03T00:00:00.000Z,"3.16","16",20,10,0
2016-02-04T00:00:00.000Z,"2.80","16",20,10,0
2016-02-05T00:00:00.000Z,"2.86","16",20,10,0
2016-02-06T00:00:00.000Z,"2.36","16",20,10,0
2016-02-07T00:00:00.000Z,"2.25","16",20,10,0
2016-02-08T00:00:00.000Z,"2.76","16",20,10,0
2016-02-09T00:00:00.000Z,"2.03","16",20,10,0
2016-02-10T00:00:00.000Z,"1.82","16",20,10,0
2016-02-11T00:00:00.000Z,"2.10","16",20,10,0
2016-02-12T00:00:00.000Z,"1.94","16",20,10,0
2016-02-13T00:00:00.000Z,"1.93","16",20,10,0
2016-02-14T00:00:00.000Z,"2.17","16",20,10,0
2016-02-15T00:00:00.000Z,"3.28","16",20,10,0
2016-02-16T00:00:00.000Z,"3.60","16",20,10,0
2016-02-17T00:00:00.000Z,"3.78","16",20,10,0
2016-02-18T00:00:00.000Z,"3.73","16",20,10,0
2016-02-19T00:00:00.000Z,"3.22","16",20,10,0
2016-02-20T00:00:00.000Z,"2.36","16",20,10,0
2016-02-21T00:00:00.000Z,"2.23","16",20,10,0
2016-02-22T00:00:00.000Z,"1.96","16",20,10,0
2016-02-23T00:00:00.000Z,"1.76","16",20,10,0
2016-02-24T00:00:00.000Z,"1.62","16",20,10,0
2016-02-25T00:00:00.000Z,"1.63","16",20,10,0
2016-02-26T00:00:00.000Z,"2.26","16",20,10,0
2016-02-27T00:00:00.000Z,"4.15","16",20,10,0
2016-02-28T00:00:00.000Z,"9.04","16",20,10,0
2016-02-29T00:00:00.000Z,"8.89","16",20,10,0
2016-03-01T00:00:00.000Z,"7.95","16",20,10,0
2016-03-02T00:00:00.000Z,"5.40","16",20,10,0
2016-03-03T00:00:00.000Z,"4.62","16",20,10,0
2016-03-04T00:00:00.000Z,"5.41","16",20,10,0
2016-03-05T00:00:00.000Z,"5.03","16",20,10,0
2016-03-06T00:00:00.000Z,"4.79","16",20,10,0
2016-03-07T00:00:00.000Z,"4.80","16",20,10,0
2016-03-08T00:00:00.000Z,"4.16","16",20,10,0
2016-03-09T00:00:00.000Z,"3.43","16",20,10,0
2016-03-10T00:00:00.000Z,"3.09","16",20,10,0
2016-03-11T00:00:00.000Z,"2.97","16",20,10,0
2016-03-12T00:00:00.000Z,"2.65","16",20,10,0
2016-03-13T00:00:00.000Z,"2.61","16",20,10,0
2016-03-14T00:00:00.000Z,"2.75","16",20,10,0
2016-03-15T00:00:00.000Z,"3.42","16",20,10,0
2016-03-16T00:00:00.000Z,"3.05","16",20,10,0
2016-03-17T00:00:00.000Z,"4.35","16",20,10,0
2016-03-18T00:00:00.000Z,"5.65","16",20,10,0
2016-03-19T00:00:00.000Z,"5.03","16",20,10,0
2016-03-20T00:00:00.000Z,"5.04","16",20,10,0
2016-03-21T00:00:00.000Z,"4.85","16",20,10,0
2016-03-22T00:00:00.000Z,"3.95","16",20,10,0
2016-03-23T00:00:00.000Z,"2.53","16",20,10,0
2016-03-24T00:00:00.000Z,"2.36","16",20,10,0
2016-03-25T00:00:00.000Z,"1.95","16",20,10,0
2016-03-26T00:00:00.000Z,"1.95","16",20,10,0
2016-03-27T00:00:00.000Z,"2.49","16",20,10,0
2016-03-28T00:00:00.000Z,"2.13","16",20,10,0
2016-03-29T00:00:00.000Z,"2.10","16",20,10,0
2016-03-30T00:00:00.000Z,"2.27","16",20,10,0
2016-03-31T00:00:00.000Z,"2.42","16",20,10,0
2016-04-01T00:00:00.000Z,"2.36","16",20,10,0
2016-04-02T00:00:00.000Z,"2.74","16",20,10,0
2016-04-03T00:00:00.000Z,"3.34","16",20,10,0
2016-04-04T00:00:00.000Z,"4.28","16",20,10,0
2016-04-05T00:00:00.000Z,"5.91","16",20,10,0
2016-04-06T00:00:00.000Z,"7.38","16",20,10,0
2016-04-07T00:00:00.000Z,"6.34","16",20,10,0
2016-04-08T00:00:00.000Z,"2.81","16",20,10,0
2016-04-09T00:00:00.000Z,"2.95","16",20,10,0
2016-04-10T00:00:00.000Z,"3.78","16",20,10,0
2016-04-11T00:00:00.000Z,"4.65","16",20,10,0
2016-04-12T00:00:00.000Z,"5.37","16",20,10,0
2016-04-13T00:00:00.000Z,"4.14","16",20,10,0
2016-04-14T00:00:00.000Z,"3.54","16",20,10,0
2016-04-15T00:00:00.000Z,"3.01","16",20,10,0
2016-04-16T00:00:00.000Z,"1.46","16",20,10,0
2016-04-17T00:00:00.000Z,"1.84","16",20,10,0
2016-04-18T00:00:00.000Z,"3.34","16",20,10,0
2016-04-19T00:00:00.000Z,"3.11","16",20,10,0
2016-04-20T00:00:00.000Z,"2.67","16",20,10,0
2016-04-21T00:00:00.000Z,"3.30","16",20,10,0
2016-04-22T00:00:00.000Z,"12.8","16",20,10,0
2016-04-23T00:00:00.000Z,"8.23","16",20,10,0
2016-04-24T00:00:00.000Z,"5.16","16",20,10,0
2016-04-25T00:00:00.000Z,"5.12","16",20,10,0
2016-04-26T00:00:00.000Z,"4.73","16",20,10,0
2016-04-27T00:00:00.000Z,"3.50","16",20,10,0
2016-04-28T00:00:00.000Z,"3.32","16",20,10,0
2016-04-29T00:00:00.000Z,"3.21","16",20,10,0
2016-04-30T00:00:00.000Z,"3.23","16",20,10,0
2016-05-01T00:00:00.000Z,"4.06","16",20,10,0
2016-05-02T00:00:00.000Z,"3.67","16",20,10,0
2016-05-03T00:00:00.000Z,"3.18","16",20,10,0
2016-05-04T00:00:00.000Z,"2.61","16",20,10,0
2016-05-05T00:00:00.000Z,"1.64","16",20,10,0
2016-05-06T00:00:00.000Z,"2.36","16",20,10,0
2016-05-07T00:00:00.000Z,"3.94","16",20,10,0
2016-05-08T00:00:00.000Z,"4.40","16",20,10,0
2016-05-09T00:00:00.000Z,"7.45","16",20,10,0
2016-05-10T00:00:00.000Z,"35.5","16",20,10,0
2016-05-11T00:00:00.000Z,"27.6","16",20,10,0
2016-05-12T00:00:00.000Z,"19.7","16",20,10,0
2016-05-13T00:00:00.000Z,"16.5","16",20,10,0
2016-05-14T00:00:00.000Z,"12.1","16",20,10,0
2016-05-15T00:00:00.000Z,"9.74","16",20,10,0
2016-05-16T00:00:00.000Z,"8.48","16",20,10,0
2016-05-17T00:00:00.000Z,"6.41","16",20,10,0
2016-05-18T00:00:00.000Z,"6.62","16",20,10,0
2016-05-19T00:00:00.000Z,"9.57","16",20,10,0
2016-05-20T00:00:00.000Z,"8.21","16",20,10,0
2016-05-21T00:00:00.000Z,"5.53","16",20,10,0
2016-05-22T00:00:00.000Z,"7.03","16",20,10,0
2016-05-23T00:00:00.000Z,"10.6","16",20,10,0
2016-05-24T00:00:00.000Z,"6.78","16",20,10,0
2016-05-25T00:00:00.000Z,"5.48","16",20,10,0
2016-05-26T00:00:00.000Z,"4.95","16",20,10,0
2016-05-27T00:00:00.000Z,"5.51","16",20,10,0
2016-05-28T00:00:00.000Z,"5.57","16",20,10,0
2016-05-29T00:00:00.000Z,"5.45","16",20,10,0
2016-05-30T00:00:00.000Z,"5.44","16",20,10,0
2016-05-31T00:00:00.000Z,"6.54","16",20,10,0
2016-06-01T00:00:00.000Z,"5.54","16",20,10,0
2016-06-02T00:00:00.000Z,"5.12","16",20,10,0
2016-06-03T00:00:00.000Z,"4.30","16",20,10,0
2016-06-04T00:00:00.000Z,"5.40","16",20,10,0
2016-06-05T00:00:00.000Z,"14.2","16",20,10,0
2016-06-06T00:00:00.000Z,"8.69","16",20,10,0
2016-06-07T00:00:00.000Z,"10.9","16",20,10,0
2016-06-08T00:00:00.000Z,"9.42","16",20,10,0
2016-06-09T00:00:00.000Z,"5.73","16",20,10,0
2016-06-10T00:00:00.000Z,"5.47","16",20,10,0
2016-06-11T00:00:00.000Z,"5.46","16",20,10,0
2016-06-12T00:00:00.000Z,"6.39","16",20,10,0
2016-06-13T00:00:00.000Z,"4.63","16",20,10,0
2016-06-14T00:00:00.000Z,"3.46","16",20,10,0
2016-06-15T00:00:00.000Z,"3.62","16",20,10,0
2016-06-16T00:00:00.000Z,"3.55","16",20,10,0
2016-06-17T00:00:00.000Z,"4.07","16",20,10,0
2016-06-18T00:00:00.000Z,"5.16","16",20,10,0
2016-06-19T00:00:00.000Z,"4.53","16",20,10,0
2016-06-20T00:00:00.000Z,"4.04","16",20,10,0
2016-06-21T00:00:00.000Z,"3.35","16",20,10,0
2016-06-22T00:00:00.000Z,"2.39","16",20,10,0
2016-06-23T00:00:00.000Z,"1.68","16",20,10,0
2016-06-24T00:00:00.000Z,"1.61","16",20,10,0
2016-06-25T00:00:00.000Z,"2.12","16",20,10,0
2016-06-26T00:00:00.000Z,"1.92","16",20,10,0
2016-06-27T00:00:00.000Z,"1.72","16",20,10,0
2016-06-28T00:00:00.000Z,"1.67","16",20,10,0
2016-06-29T00:00:00.000Z,"1.62","16",20,10,0
2016-06-30T00:00:00.000Z,"2.01","16",20,10,0
2016-07-01T00:00:00.000Z,"1.63","16",20,10,0
2016-07-02T00:00:00.000Z,"1.81","16",20,10,0
2016-07-03T00:00:00.000Z,"2.53","16",20,10,0
2016-07-04T00:00:00.000Z,"2.34","16",20,10,0
2016-07-05T00:00:00.000Z,"1.88","16",20,10,0
2016-07-06T00:00:00.000Z,"1.89","16",20,10,0
2016-07-07T00:00:00.000Z,"1.61","16",20,10,0
2016-07-08T00:00:00.000Z,"1.80","16",20,10,0
2016-07-09T00:00:00.000Z,"1.80","16",20,10,0
2016-07-10T00:00:00.000Z,"1.72","16",20,10,0
2016-07-11T00:00:00.000Z,"1.78","16",20,10,0
2016-07-12T00:00:00.000Z,"1.75","16",20,10,0
2016-07-13T00:00:00.000Z,"1.83","16",20,10,0
2016-07-14T00:00:00.000Z,"1.87","16",20,10,0
2016-07-15T00:00:00.000Z,"1.88","16",20,10,0
2016-07-16T00:00:00.000Z,"1.69","16",20,10,0
2016-07-17T00:00:00.000Z,"1.66","16",20,10,0
2016-07-18T00:00:00.000Z,"1.60","16",20,10,0
2016-07-19T00:00:00.000Z,"1.67","16",20,10,0
2016-07-20T00:00:00.000Z,"1.85","16",20,10,0
2016-07-21T00:00:00.000Z,"2.05","16",20,10,0
2016-07-22T00:00:00.000Z,"1.86","16",20,10,0
2016-07-23T00:00:00.000Z,"2.03","16",20,10,0
2016-07-24T00:00:00.000Z,"1.80","16",20,10,0
2016-07-25T00:00:00.000Z,"1.73","16",20,10,0
2016-07-26T00:00:00.000Z,"1.73","16",20,10,0
2016-07-27T00:00:00.000Z,"1.46","16",20,10,0
2016-07-28T00:00:00.000Z,"1.34","16",20,10,0
2016-07-29T00:00:00.000Z,"1.40","16",20,10,0
2016-07-30T00:00:00.000Z,"1.49","16",20,10,0
2016-07-31T00:00:00.000Z,"1.55","16",20,10,0
2016-08-01T00:00:00.000Z,"1.64","16",20,10,0
2016-08-02T00:00:00.000Z,"1.45","16",20,10,0
2016-08-03T00:00:00.000Z,"1.39","16",20,10,0
2016-08-04T00:00:00.000Z,"1.32","16",20,10,0
2016-08-05T00:00:00.000Z,"1.30","16",20,10,0
2016-08-06T00:00:00.000Z,"1.24","16",20,10,0
2016-08-07T00:00:00.000Z,"1.24","16",20,10,0
2016-08-08T00:00:00.000Z,"1.24","16",20,10,0
2016-08-09T00:00:00.000Z,"1.32","16",20,10,0
2016-08-10T00:00:00.000Z,"1.35","16",20,10,0
2016-08-11T00:00:00.000Z,"1.24","16",20,10,0
2016-08-12T00:00:00.000Z,"1.32","16",20,10,0
2016-08-13T00:00:00.000Z,"1.35","16",20,10,0
2016-08-14T00:00:00.000Z,"1.41","16",20,10,0
2016-08-15T00:00:00.000Z,"1.37","16",20,10,0
2016-08-16T00:00:00.000Z,"1.39","16",20,10,0
2016-08-17T00:00:00.000Z,"1.43","16",20,10,0
2016-08-18T00:00:00.000Z,"1.31","16",20,10,0
2016-08-19T00:00:00.000Z,"1.29","16",20,10,0
2016-08-20T00:00:00.000Z,"1.39","16",20,10,0
2016-08-21T00:00:00.000Z,"1.47","16",20,10,0
2016-08-22T00:00:00.000Z,"1.44","16",20,10,0
2016-08-23T00:00:00.000Z,"1.19","16",20,10,0
2016-08-24T00:00:00.000Z,"1.16","16",12,10,0
2016-08-25T00:00:00.000Z,"1.17","16",12,10,0
2016-08-26T00:00:00.000Z,"1.16","16",20,10,0
2016-08-27T00:00:00.000Z,"1.14","16",20,10,0
2016-08-28T00:00:00.000Z,"1.16","16",20,10,0
2016-08-29T00:00:00.000Z,"1.18","16",20,10,0
2016-08-30T00:00:00.000Z,"1.27","16",20,10,0
2016-08-31T00:00:00.000Z,"1.22","16",20,10,0
2016-09-01T00:00:00.000Z,"1.24","16",20,10,0
2016-09-02T00:00:00.000Z,"1.20","16",20,10,0
2016-09-03T00:00:00.000Z,"1.15","16",12,10,0
2016-09-04T00:00:00.000Z,"1.10","16",12,10,0
2016-09-05T00:00:00.000Z,"1.09","16",12,10,0
2016-09-06T00:00:00.000Z,"1.10","16",12,10,0
2016-09-07T00:00:00.000Z,"1.11","16",12,10,0
2016-09-08T00:00:00.000Z,"1.20","16",12,10,0
2016-09-09T00:00:00.000Z,"1.24","16",20,10,0
2016-09-10T00:00:00.000Z,"1.29","16",20,10,0
2016-09-11T00:00:00.000Z,"1.25","16",20,10,0
2016-09-12T00:00:00.000Z,"1.28","16",20,10,0
2016-09-13T00:00:00.000Z,"1.32","16",20,10,0
2016-09-14T00:00:00.000Z,"2.58","16",20,10,0
2016-09-15T00:00:00.000Z,"2.35","16",20,10,0
2016-09-16T00:00:00.000Z,"1.71","16",20,10,0
2016-09-17T00:00:00.000Z,"1.51","16",20,10,0
2016-09-18T00:00:00.000Z,"1.44","16",20,10,0
2016-09-19T00:00:00.000Z,"1.50","16",20,10,0
2016-09-20T00:00:00.000Z,"1.55","16",20,10,0
2016-09-21T00:00:00.000Z,"1.57","16",20,10,0
2016-09-22T00:00:00.000Z,"1.80","16",20,10,0
2016-09-23T00:00:00.000Z,"2.14","16",20,10,0
2016-09-24T00:00:00.000Z,"2.23","16",20,10,0
2016-09-25T00:00:00.000Z,"2.87","16",20,10,0
2016-09-26T00:00:00.000Z,"3.85","16",20,10,0
2016-09-27T00:00:00.000Z,"2.40","16",20,10,0
2016-09-28T00:00:00.000Z,"2.32","16",20,10,0
2016-09-29T00:00:00.000Z,"2.24","16",20,10,0
2016-09-30T00:00:00.000Z,"2.05","16",20,10,0
2016-10-01T00:00:00.000Z,"1.78","16",20,10,0
2016-10-02T00:00:00.000Z,"2.30","16",20,10,0
2016-10-03T00:00:00.000Z,"2.19","16",20,10,0
2016-10-04T00:00:00.000Z,"1.82","16",20,10,0
2016-10-05T00:00:00.000Z,"1.92","16",20,10,0
2016-10-06T00:00:00.000Z,"2.18","16",20,10,0
2016-10-07T00:00:00.000Z,"2.30","16",20,10,0
2016-10-08T00:00:00.000Z,"2.23","16",20,10,0
2016-10-09T00:00:00.000Z,"2.25","16",20,10,0
2016-10-10T00:00:00.000Z,"1.79","16",20,10,0
2016-10-11T00:00:00.000Z,"1.43","16",20,10,0
2016-10-12T00:00:00.000Z,"2.02","16",20,10,0
2016-10-13T00:00:00.000Z,"3.98","16",20,10,0
2016-10-14T00:00:00.000Z,"5.72","16",20,10,0
2016-10-15T00:00:00.000Z,"10.0","16",20,10,0
2016-10-16T00:00:00.000Z,"5.83","16",20,10,0
2016-10-17T00:00:00.000Z,"4.33","16",20,10,0
2016-10-18T00:00:00.000Z,"3.21","16",20,10,0
2016-10-19T00:00:00.000Z,"2.44","16",20,10,0
2016-10-20T00:00:00.000Z,"2.13","16",20,10,0
2016-10-21T00:00:00.000Z,"2.02","16",20,10,0
2016-10-22T00:00:00.000Z,"2.09","16",20,10,0
2016-10-23T00:00:00.000Z,"2.21","16",20,10,0
2016-10-24T00:00:00.000Z,"2.08","16",20,10,0
2016-10-25T00:00:00.000Z,"1.92","16",20,10,0
2016-10-26T00:00:00.000Z,"1.93","16",20,10,0
2016-10-27T00:00:00.000Z,"1.84","16",20,10,0
2016-10-28T00:00:00.000Z,"1.65","16",20,10,0
2016-10-29T00:00:00.000Z,"1.59","16",20,10,0
2016-10-30T00:00:00.000Z,"1.61","16",20,10,0
2016-10-31T00:00:00.000Z,"1.54","16",20,10,0
2016-11-01T00:00:00.000Z,"1.56","16",20,10,0
2016-11-02T00:00:00.000Z,"1.58","16",20,10,0
2016-11-03T00:00:00.000Z,"1.62","16",20,10,0
2016-11-04T00:00:00.000Z,"1.88","16",20,10,0
2016-11-05T00:00:00.000Z,"1.91","16",20,10,0
2016-11-06T00:00:00.000Z,"1.93","16",20,10,0
2016-11-07T00:00:00.000Z,"2.04","16",20,10,0
2016-11-08T00:00:00.000Z,"2.35","16",20,10,0
2016-11-09T00:00:00.000Z,"2.62","16",20,10,0
2016-11-10T00:00:00.000Z,"2.72","16",20,10,0
2016-11-11T00:00:00.000Z,"1.96","16",20,10,0
2016-11-12T00:00:00.000Z,"1.68","16",20,10,0
2016-11-13T00:00:00.000Z,"1.71","16",20,10,0
2016-11-14T00:00:00.000Z,"1.82","16",20,10,0
2016-11-15T00:00:00.000Z,"2.12","16",20,10,0
2016-11-16T00:00:00.000Z,"2.49","16",20,10,0
2016-11-17T00:00:00.000Z,"2.04","16",20,10,0